City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
257,Kieta,PG,79.56,light rain,-6.2167,155.6333,Uruna Bay Retreat
261,Bengkulu,ID,75.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
262,Gurupi,BR,79.72,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
264,Ambilobe,MG,77.09,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
270,Acarau,BR,85.48,broken clouds,-2.8856,-40.12,castelo pizzaria
271,Samarai,PG,81.46,overcast clouds,-10.6167,150.6667,Nuli Sapi
275,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
279,Cap Malheureux,MU,78.48,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
281,Carutapera,BR,81.95,few clouds,-1.195,-46.02,Lidera
283,Tautira,PF,86.02,broken clouds,-17.7333,-149.15,Pension Oaoa
287,Banikoara,BJ,80.31,few clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
288,Manati,PR,87.1,scattered clouds,18.4275,-66.4921,Manati World Point Inn
294,Banda Aceh,ID,78.08,overcast clouds,5.5577,95.3222,Sulthan Hotel International
301,Bara,NG,77.23,overcast clouds,10.3744,10.7288,
302,Umm Lajj,SA,77.4,overcast clouds,25.0213,37.2685,Moon light Furnished Units
303,Ndele,CF,79.05,few clouds,8.4109,20.6473,
307,Mogadishu,SO,78.8,scattered clouds,2.0371,45.3438,Hotel Juba
312,Grand-Santi,GF,81.34,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
314,Amapa,BR,79.57,overcast clouds,1.0,-52.0,
317,Kudahuvadhoo,MV,81.32,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
320,Doka,SD,82.24,clear sky,13.5167,35.7667,
321,Bani,DO,87.24,few clouds,18.2833,-70.3333,Hospedaje Henriquez
324,Quatre Cocos,MU,78.1,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
