City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,Stornoway,58.2093,-6.3865,38.93,87,20,5.75,GB,2021-12-08 18:51:44
277,Alofi,-19.0595,-169.9187,73.29,94,100,10.36,NU,2021-12-08 18:51:44
278,Kawalu,-7.3817,108.2082,73.85,96,100,1.36,ID,2021-12-08 18:51:44
279,Pincehely,46.681,18.4394,33.94,82,100,11.07,HU,2021-12-08 18:51:45
280,Margate,51.3813,1.3862,44.91,73,67,1.01,GB,2021-12-08 18:51:45
281,Sisimiut,66.9395,-53.6735,18.25,60,100,8.7,GL,2021-12-08 18:51:45
282,Lowestoft,52.4752,1.7516,45.23,77,100,17.54,GB,2021-12-08 18:51:46
283,Syedove,47.0768,38.156,44.01,86,100,17.2,UA,2021-12-08 18:51:46
284,Ouahigouya,13.5828,-2.4216,81.01,12,0,9.73,BF,2021-12-08 18:51:46
285,Salalah,17.0151,54.0924,73.38,41,0,4.41,OM,2021-12-08 18:51:47
286,Bardiyah,31.7561,25.0865,60.57,65,0,13.56,LY,2021-12-08 18:51:47
287,Luwuk,-0.9516,122.7875,78.06,89,100,1.72,ID,2021-12-08 18:51:47
288,Abu Dhabi,24.4667,54.3667,75.22,68,0,5.75,AE,2021-12-08 18:51:48
289,Tansen,27.8673,83.5467,48.18,69,0,4.03,NP,2021-12-08 18:51:48
290,Kenai,60.5544,-151.2583,12.15,89,75,3.44,US,2021-12-08 18:51:48
291,Garowe,8.4054,48.4845,72.07,51,87,16.15,SO,2021-12-08 18:51:48
292,Champerico,14.3,-91.9167,93.74,62,100,7.05,GT,2021-12-08 18:51:49
293,Chuy,-33.6971,-53.4616,73.02,56,3,14.0,UY,2021-12-08 18:51:08
294,Saint-Georges,12.0564,-61.7485,80.28,83,40,13.8,GD,2021-12-08 18:51:49
295,Nagato,34.3833,131.2,48.11,75,76,10.83,JP,2021-12-08 18:51:50
296,Pevek,69.7008,170.3133,-19.19,97,100,1.72,RU,2021-12-08 18:47:39
297,Fukue,32.6881,128.8419,57.88,63,2,20.51,JP,2021-12-08 18:50:03
298,Ulaangom,49.9811,92.0667,5.34,82,87,5.84,MN,2021-12-08 18:51:50
299,Solikamsk,59.6196,56.7729,19.94,95,100,7.92,RU,2021-12-08 18:51:50
300,Bengkulu,-3.8004,102.2655,75.29,91,41,4.5,ID,2021-12-08 18:49:16
301,Ust-Kuyga,70.0167,135.6,-31.2,93,99,7.34,RU,2021-12-08 18:51:51
302,Kieta,-6.2167,155.6333,79.14,87,100,5.77,PG,2021-12-08 18:51:51
303,Aldan,58.6031,125.3894,20.14,96,100,4.76,RU,2021-12-08 18:51:51
304,Benito Juarez,19.385,-99.165,72.0,31,5,1.01,MX,2021-12-08 18:51:52
305,Wajir,1.7471,40.0573,85.96,58,0,0.0,KE,2021-12-08 18:51:52
306,Cabiraoan,18.3238,122.086,69.96,76,99,8.95,PH,2021-12-08 18:51:52
307,Kruisfontein,-34.0033,24.7314,64.89,92,92,9.31,ZA,2021-12-08 18:51:53
308,Huilong,31.8111,121.655,56.03,63,99,10.89,CN,2021-12-08 18:51:53
309,Samarai,-10.6167,150.6667,81.41,81,100,8.99,PG,2021-12-08 18:51:53
310,Inhambane,-23.865,35.3833,80.58,74,20,0.0,MZ,2021-12-08 18:51:54
311,Leningradskiy,69.3833,178.4167,-7.69,95,100,16.37,RU,2021-12-08 18:51:54
312,Lewiston,44.1003,-70.2148,27.25,89,90,6.91,US,2021-12-08 18:51:54
313,Paranapanema,-23.3886,-48.7228,71.64,55,100,12.08,BR,2021-12-08 18:51:55
314,Wellsford,-36.2833,174.5167,66.65,82,79,1.19,NZ,2021-12-08 18:51:55
315,Puerto Narino,-3.7703,-70.3831,89.55,63,100,1.88,CO,2021-12-08 18:51:55
316,Lodja,-3.4833,23.4333,69.75,90,77,0.58,CD,2021-12-08 18:51:56
317,Rocha,-34.4833,-54.3333,76.77,47,84,16.87,UY,2021-12-08 18:51:56
318,Yagodnoye,62.55,149.6667,-44.86,97,27,5.17,RU,2021-12-08 18:51:56
319,Coos Bay,43.3665,-124.2179,50.31,97,90,11.5,US,2021-12-08 18:49:49
320,Lerwick,60.1545,-1.1494,42.8,91,100,35.25,GB,2021-12-08 18:51:57
321,Seoul,37.5683,126.9778,38.64,93,100,2.3,KR,2021-12-08 18:51:57
322,Celestun,20.8667,-90.4,84.56,62,46,8.39,MX,2021-12-08 18:52:58
323,Shellbrook,53.2168,-106.4011,9.63,94,100,12.73,CA,2021-12-08 18:52:58
324,Andenes,69.3143,16.1194,16.07,67,0,6.91,NO,2021-12-08 18:51:08
325,Mildura,-34.2,142.15,49.96,57,0,10.36,AU,2021-12-08 18:52:58
326,Katsina,12.9894,7.6006,70.25,14,1,9.42,NG,2021-12-08 18:52:59
327,Sitka,57.0531,-135.33,37.29,87,90,11.5,US,2021-12-08 18:52:59
328,Srednekolymsk,67.45,153.6833,-24.03,98,100,4.18,RU,2021-12-08 18:53:00
329,Erie,42.7667,-78.6664,30.25,84,100,1.01,US,2021-12-08 18:53:00
330,Lingao,19.9103,109.6859,69.55,86,22,14.45,CN,2021-12-08 18:53:00
331,Fortuna,40.5982,-124.1573,54.19,76,40,3.0,US,2021-12-08 18:53:00
332,Fort Frances,48.5999,-93.4003,14.22,76,75,0.0,CA,2021-12-08 18:52:02
333,San Juan,-31.5375,-68.5364,79.0,40,67,14.14,AR,2021-12-08 18:53:01
334,Liverpool,53.4106,-2.9779,46.09,88,75,15.99,GB,2021-12-08 18:51:12
335,Diebougou,10.9667,-3.25,85.89,14,0,2.17,BF,2021-12-08 18:53:01
336,Pitkyaranta,61.5734,31.4792,5.11,97,82,5.14,RU,2021-12-08 18:53:02
337,Kenora,49.8167,-94.4337,9.79,72,75,9.22,CA,2021-12-08 18:53:02
338,Seydi,39.4816,62.9137,42.03,62,0,9.95,TM,2021-12-08 18:53:02
339,Luanda,-8.8368,13.2343,82.4,74,20,11.5,AO,2021-12-08 18:53:03
340,Grindavik,63.8424,-22.4338,34.27,93,75,21.85,IS,2021-12-08 18:53:03
341,Bani Walid,31.7566,13.9942,57.56,20,100,10.13,LY,2021-12-08 18:53:03
342,Mar Del Plata,-38.0023,-57.5575,73.42,89,0,24.0,AR,2021-12-08 18:52:50
343,Ostrovnoy,68.0531,39.5131,13.28,86,42,5.1,RU,2021-12-08 18:53:04
344,Nongstoin,25.5167,91.2667,51.35,88,0,3.87,IN,2021-12-08 18:53:04
345,Roma,43.2128,-75.4557,35.46,83,90,6.91,US,2021-12-08 18:53:04
346,Eirunepe,-6.6603,-69.8736,87.37,62,100,2.73,BR,2021-12-08 18:53:05
347,Healdsburg,38.6105,-122.8692,55.38,83,90,1.99,US,2021-12-08 18:51:14
348,Porbandar,21.6422,69.6093,73.11,50,0,13.27,IN,2021-12-08 18:53:05
349,Jibuti,11.5,42.5,72.82,63,0,10.71,DJ,2021-12-08 18:53:06
350,Strezhevoy,60.7333,77.5889,4.98,96,100,8.79,RU,2021-12-08 18:53:06
351,Tel Aviv-Yafo,32.0805,34.7805,62.08,79,75,20.71,IL,2021-12-08 18:53:06
352,Magaria,12.9983,8.9099,71.22,13,21,9.6,NE,2021-12-08 18:53:07
353,Tari,12.4086,4.4914,77.0,15,16,9.98,NG,2021-12-08 18:53:07
354,Bilibino,68.0546,166.4372,-39.1,99,98,1.25,RU,2021-12-08 18:53:07
355,Laguna,38.421,-121.4238,56.64,94,90,1.01,US,2021-12-08 18:53:08
356,Comodoro Rivadavia,-45.8667,-67.5,58.86,41,40,18.41,AR,2021-12-08 18:53:10
357,Kutum,14.2,24.6667,64.96,18,0,12.19,SD,2021-12-08 18:53:10
358,Iqaluit,63.7506,-68.5145,4.73,71,90,11.99,CA,2021-12-08 18:50:56
359,Pareora,-44.4871,171.2132,59.18,91,92,8.25,NZ,2021-12-08 18:53:10
360,Chapais,49.7834,-74.8492,1.18,92,100,6.89,CA,2021-12-08 18:53:11
361,Talnakh,69.4865,88.3972,6.21,98,100,12.64,RU,2021-12-08 18:53:11
362,Merauke,-8.4667,140.3333,78.33,90,100,5.23,ID,2021-12-08 18:53:12
363,Mastic,40.802,-72.8409,41.99,92,90,3.44,US,2021-12-08 18:53:12
364,Yar-Sale,66.8333,70.8333,17.76,79,100,24.32,RU,2021-12-08 18:53:12
365,Arbazh,57.6804,48.3065,32.58,98,100,8.34,RU,2021-12-08 18:53:13
366,Waingapu,-9.6567,120.2641,79.11,83,87,5.19,ID,2021-12-08 18:53:13
367,Lagoa,39.05,-27.9833,60.33,55,100,2.28,PT,2021-12-08 18:54:14
368,Acapulco,16.8634,-99.8901,87.62,66,1,0.0,MX,2021-12-08 18:53:10
369,Amahai,-3.3333,128.9167,78.62,84,100,5.28,ID,2021-12-08 18:54:14
370,Manta,-0.95,-80.7333,80.38,74,40,10.36,EC,2021-12-08 18:54:15
371,Souillac,-20.5167,57.5167,79.18,73,40,6.91,MU,2021-12-08 18:52:40
372,Tonj,7.2737,28.6822,83.91,22,96,3.74,SS,2021-12-08 18:54:16
373,Port Moresby,-9.4431,147.1797,76.42,88,75,3.44,PG,2021-12-08 18:54:16
374,Forestville,38.8451,-76.875,44.49,63,75,5.75,US,2021-12-08 18:54:17
375,Balakhta,55.38,91.6,-1.19,100,100,2.15,RU,2021-12-08 18:54:17
