City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Weather Description
153,Lorengau,-2.0226,147.2712,83.21,83,100,17.69,PG,2021-12-10 18:42:20,overcast clouds
154,Puerto Colombia,10.9878,-74.9547,86.09,73,13,22.01,CO,2021-12-10 18:42:21,few clouds
155,Margate,51.3813,1.3862,42.96,78,12,7.0,GB,2021-12-10 18:38:46,few clouds
156,Jumla,29.2747,82.1838,33.96,37,0,5.41,NP,2021-12-10 18:37:03,clear sky
157,Atuona,-9.8,-139.0333,78.1,72,8,13.8,PF,2021-12-10 18:36:47,clear sky
158,Katsuura,35.1333,140.3,44.71,79,0,5.77,JP,2021-12-10 18:42:21,clear sky
159,Alihe,50.5667,123.7167,14.67,90,100,2.75,CN,2021-12-10 18:42:22,overcast clouds
160,Lompoc,34.6391,-120.4579,61.57,63,1,9.22,US,2021-12-10 18:37:53,clear sky
161,Zhizdra,53.746,34.7395,33.94,93,100,12.35,RU,2021-12-10 18:42:22,overcast clouds
162,Robertsport,6.7533,-11.3686,81.5,79,65,8.46,LR,2021-12-10 18:42:22,light rain
163,Krasnoselkup,65.7,82.4667,3.49,96,100,19.71,RU,2021-12-10 18:42:23,light snow
164,Longyearbyen,78.2186,15.6401,28.24,74,40,12.66,SJ,2021-12-10 18:40:30,scattered clouds
165,Pisco,-13.7,-76.2167,74.01,73,75,10.36,PE,2021-12-10 18:39:10,broken clouds
166,Tilichiki,60.4667,166.1,-15.02,88,100,8.55,RU,2021-12-10 18:38:27,overcast clouds
167,Aklavik,68.2191,-135.0107,-1.37,77,75,6.91,CA,2021-12-10 18:38:17,broken clouds
168,Phuket,8.0,98.25,75.42,94,20,1.14,TH,2021-12-10 18:42:23,few clouds
169,Stornoway,58.2093,-6.3865,35.56,93,20,5.75,GB,2021-12-10 18:42:24,few clouds
170,Goderich,43.7501,-81.7165,41.2,81,100,3.44,CA,2021-12-10 18:42:25,overcast clouds
171,Cidreira,-30.1811,-50.2056,70.77,60,16,8.95,BR,2021-12-10 18:42:26,few clouds
172,Sri Aman,1.2376,111.4621,77.09,94,99,0.0,MY,2021-12-10 18:42:26,overcast clouds
173,Praia,14.9215,-23.5087,75.74,64,49,20.71,CV,2021-12-10 18:42:27,scattered clouds
174,Tiksi,71.6872,128.8694,-4.97,93,100,10.42,RU,2021-12-10 18:42:27,overcast clouds
175,Coquimbo,-29.9533,-71.3436,64.13,72,90,12.66,CL,2021-12-10 18:32:29,overcast clouds
176,Narsaq,60.9167,-46.05,35.82,63,100,8.77,GL,2021-12-10 18:42:27,overcast clouds
177,Thompson,55.7435,-97.8558,10.56,79,75,6.91,CA,2021-12-10 18:42:28,light snow
178,Payo,-3.7508,103.6372,73.06,99,100,1.36,ID,2021-12-10 18:42:28,overcast clouds
179,Alice Springs,-23.7,133.8833,63.95,32,0,6.91,AU,2021-12-10 18:42:28,clear sky
180,Mirnyy,62.5353,113.9611,-4.9,96,100,6.93,RU,2021-12-10 18:42:29,overcast clouds
181,Rovaniemi,66.5,25.7167,17.01,86,90,9.22,FI,2021-12-10 18:42:29,light shower snow
182,Klaksvik,62.2266,-6.589,34.72,73,41,15.01,FO,2021-12-10 18:38:11,scattered clouds
183,Campos Altos,-19.6961,-46.1714,81.39,42,13,0.96,BR,2021-12-10 18:42:35,few clouds
184,Patacamaya,-17.2333,-67.9167,56.03,54,98,5.53,BO,2021-12-10 18:42:35,overcast clouds
185,Andenes,69.3143,16.1194,30.18,80,0,6.91,NO,2021-12-10 18:42:35,clear sky
186,Bireun,5.203,96.7009,78.31,84,84,5.17,ID,2021-12-10 18:42:37,broken clouds
187,Uvelskiy,54.4446,61.3574,12.83,90,100,1.79,RU,2021-12-10 18:42:37,overcast clouds
188,Bushehr,28.9684,50.8385,69.89,64,100,11.5,IR,2021-12-10 18:42:37,overcast clouds
189,Andzhiyevskiy,44.23,43.08,35.67,93,1,4.47,RU,2021-12-10 18:42:38,mist
190,Madruga,22.9114,-81.8561,83.34,45,4,11.48,CU,2021-12-10 18:42:38,clear sky
191,Pocone,-16.2567,-56.6228,93.34,43,100,7.11,BR,2021-12-10 18:42:38,overcast clouds
192,Biak,-0.9131,122.8766,77.49,78,100,3.36,ID,2021-12-10 18:42:38,overcast clouds
193,Ancud,-41.8697,-73.8203,70.43,64,100,10.11,CL,2021-12-10 18:42:39,overcast clouds
194,Osoyoos,49.0331,-119.4524,34.99,80,88,2.3,CA,2021-12-10 18:42:39,overcast clouds
195,Katherine,-14.4667,132.2667,79.12,69,62,3.44,AU,2021-12-10 18:42:39,broken clouds
196,Norman Wells,65.282,-126.8329,-0.36,78,20,9.22,CA,2021-12-10 18:42:40,few clouds
197,Richards Bay,-28.783,32.0377,75.97,88,30,11.99,ZA,2021-12-10 18:42:40,scattered clouds
198,Muros,42.7762,-9.0603,55.24,89,38,4.45,ES,2021-12-10 18:42:40,scattered clouds
199,Eha Amufu,6.6592,7.7596,81.95,23,98,1.86,NG,2021-12-10 18:42:41,overcast clouds
200,Deputatskiy,69.3,139.9,-21.57,96,100,2.08,RU,2021-12-10 18:40:27,overcast clouds
201,Victoria,22.2855,114.1577,70.25,76,100,1.01,HK,2021-12-10 18:38:24,overcast clouds
202,Havre-Saint-Pierre,50.2334,-63.5986,19.99,53,1,4.61,CA,2021-12-10 18:42:42,clear sky
203,Zonguldak,41.25,31.8333,49.3,62,100,6.6,TR,2021-12-10 18:42:42,overcast clouds
204,Arlit,18.7369,7.3853,69.71,10,67,9.93,NE,2021-12-10 18:42:42,broken clouds
205,Vardo,70.3705,31.1107,24.78,80,0,25.32,NO,2021-12-10 18:42:43,clear sky
206,Cockburn Town,21.4612,-71.1419,75.16,83,40,17.27,TC,2021-12-10 18:42:43,light intensity drizzle
207,Shima,24.4478,117.8111,67.21,75,81,1.16,CN,2021-12-10 18:42:43,broken clouds
208,Souillac,-20.5167,57.5167,78.37,78,40,5.75,MU,2021-12-10 18:42:44,scattered clouds
209,Agua Verde,22.9,-106.05,78.13,49,100,6.2,MX,2021-12-10 18:42:44,overcast clouds
210,Ahipara,-35.1667,173.1667,66.25,91,100,5.3,NZ,2021-12-10 18:36:30,light rain
211,Bousso,10.4795,16.7117,81.14,18,9,4.61,TD,2021-12-10 18:42:44,clear sky
212,Tromso,69.6496,18.957,32.02,59,20,14.97,NO,2021-12-10 18:42:45,few clouds
213,Atikokan,48.7555,-91.6216,26.85,82,100,6.4,CA,2021-12-10 18:42:45,overcast clouds
214,Sol-Iletsk,51.1631,54.9918,24.49,84,100,11.3,RU,2021-12-10 18:37:39,overcast clouds
215,Touros,-5.1989,-35.4608,88.7,67,7,14.67,BR,2021-12-10 18:37:06,clear sky
216,Trincomalee,8.5711,81.2335,81.14,77,79,11.3,LK,2021-12-10 18:42:46,broken clouds
217,Kiunga,-6.1219,141.2906,73.67,100,100,1.03,PG,2021-12-10 18:42:47,overcast clouds
218,Abu Dhabi,24.4667,54.3667,73.96,60,100,10.07,AE,2021-12-10 18:40:26,overcast clouds
219,Bilma,18.6853,12.9164,66.63,9,84,11.61,NE,2021-12-10 18:37:57,broken clouds
220,Port Hardy,50.6996,-127.4199,45.75,93,90,10.36,CA,2021-12-10 18:36:28,moderate rain
221,Neryungri,56.6709,124.6491,-15.45,96,100,0.92,RU,2021-12-10 18:42:48,overcast clouds
222,Jabinyanah,35.035,10.9081,58.8,51,100,23.78,TN,2021-12-10 18:42:48,overcast clouds
223,Chuy,-33.6971,-53.4616,71.1,57,56,10.56,UY,2021-12-10 18:42:48,broken clouds
224,Bako,5.7833,36.5667,70.16,31,5,3.6,ET,2021-12-10 18:42:49,clear sky
